$ pypy -V
Python 2.7.10 (0e2d9a73f5a1818d0245d75daccdbe21b2d5c3ef, Sep 09 2016, 08:57:59)
[PyPy 5.4.1 with GCC 6.1.1 20160621 (Red Hat 6.1.1-3)]

$ pypy runtests.py -v
test_cos_D_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cos_F_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cos_G_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cos_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cos_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cos_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cos_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cos_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cosh_D_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cosh_F_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cosh_G_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cosh_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cosh_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cosh_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cosh_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_cosh_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_deg2rad_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_deg2rad_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_deg2rad_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_deg2rad_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_deg2rad_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_degrees_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_degrees_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_degrees_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_degrees_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_degrees_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_BB_B (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_DD_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_FF_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_GG_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_HH_H (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_II_I (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_LL_L (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_OO_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_QQ_Q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_bb_b (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_dd_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_ee_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_ff_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_gg_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_hh_h (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_ii_i (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_ll_l (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_md_m (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_mm_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_mq_m (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_divide_qq_q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_??_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_BB_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_DD_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_FF_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_GG_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_HH_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_II_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_LL_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_MM_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... /home/graham/pypy/numba/numba/tests/test_ufuncs.py:2: FutureWarning: In the future, 'NAT == x' and 'x == NAT' will always be False.
  
ERROR
test_equal_OO_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_QQ_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_bb_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_dd_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_ee_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_ff_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_gg_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_hh_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_ii_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_ll_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_mm_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_equal_qq_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp2_D_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp2_F_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp2_G_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp2_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp2_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp2_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp2_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp2_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp_D_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp_F_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp_G_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_exp_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_expm1_D_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_expm1_F_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_expm1_G_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_expm1_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_expm1_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_expm1_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_expm1_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_expm1_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fabs_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fabs_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fabs_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fabs_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fabs_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_d_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_BB_B (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_DD_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_FF_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_GG_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_HH_H (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_II_I (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_LL_L (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_OO_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_QQ_Q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_bb_b (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_dd_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_ee_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_ff_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_gg_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_hh_h (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_ii_i (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_ll_l (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_md_m (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_mq_m (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_divide_qq_q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_e_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_f_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_floor_g_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_??_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_BB_B (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_DD_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_FF_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_GG_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_HH_H (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_II_I (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_LL_L (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_MM_M (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ERROR
test_fmax_OO_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_QQ_Q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_bb_b (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_dd_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_ee_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_ff_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_gg_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_hh_h (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_ii_i (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_ll_l (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_mm_m (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmax_qq_q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_??_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_BB_B (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_DD_D (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_FF_F (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_GG_G (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_HH_H (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_II_I (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_LL_L (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_MM_M (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ERROR
test_fmin_OO_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_QQ_Q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_bb_b (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_dd_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_ee_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_ff_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_gg_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_hh_h (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_ii_i (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_ll_l (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_mm_m (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmin_qq_q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_BB_B (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_HH_H (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_II_I (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_LL_L (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_OO_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_QQ_Q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_bb_b (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_dd_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_ee_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_ff_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_gg_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_hh_h (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_ii_i (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_ll_l (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_fmod_qq_q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_??_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_BB_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_DD_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_FF_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_GG_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_HH_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_II_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_LL_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_MM_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... /home/graham/pypy/numba/numba/tests/test_ufuncs.py:2: FutureWarning: In the future, 'NAT > x' and 'x > NAT' will always be False.
  
ERROR
test_greater_OO_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_QQ_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_bb_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_dd_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_ee_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_??_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_BB_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_DD_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_FF_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_GG_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_HH_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_II_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_LL_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_MM_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... /home/graham/pypy/numba/numba/tests/test_ufuncs.py:2: FutureWarning: In the future, 'NAT >= x' and 'x >= NAT' will always be False.
  
ERROR
test_greater_equal_OO_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_QQ_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_bb_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_dd_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_ee_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_ff_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_gg_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_hh_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_ii_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_ll_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_mm_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_equal_qq_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_ff_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_gg_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_hh_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_ii_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_ll_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_mm_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_greater_qq_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_hypot_OO_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_hypot_dd_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_hypot_ee_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_hypot_ff_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_hypot_gg_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_?_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_B_B (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_H_H (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_I_I (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_L_L (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_O_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_Q_Q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_b_b (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_h_h (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_i_i (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_l_l (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_invert_q_q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isfinite_D_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isfinite_F_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isfinite_G_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isfinite_d_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isfinite_e_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isfinite_f_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isfinite_g_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isinf_D_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isinf_F_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isinf_G_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isinf_d_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isinf_e_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isinf_f_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isinf_g_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isnan_D_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isnan_F_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isnan_G_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isnan_d_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isnan_e_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isnan_f_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_isnan_g_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_ldexp_di_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_ldexp_dl_d (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_ldexp_ei_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_ldexp_el_e (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_ldexp_fi_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_ldexp_fl_f (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_ldexp_gi_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_ldexp_gl_g (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_BB_B (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_HH_H (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_II_I (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_LL_L (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_OO_O (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_QQ_Q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_bb_b (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_hh_h (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_ii_i (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_ll_l (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_left_shift_qq_q (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_less_??_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_less_BB_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_less_DD_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_less_FF_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_less_GG_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_less_HH_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
test_less_II_? (numba.tests.test_ufuncs.TestLoopTypesDatetimeNoPython) ... ok
